iter	Passed	Remaining
0	83	8309
1	126	6188
2	161	5220
3	202	4867
4	245	4668
5	282	4429
6	320	4262
7	359	4131
8	393	3980
9	427	3848
10	464	3761
11	497	3648
12	535	3583
13	571	3510
14	605	3430
15	640	3363
16	672	3285
17	706	3220
18	738	3149
19	773	3093
20	808	3040
21	839	2977
22	873	2923
23	909	2879
24	943	2830
25	983	2799
26	1029	2783
27	1076	2767
28	1119	2741
29	1157	2700
30	1194	2657
31	1233	2620
32	1269	2577
33	1304	2532
34	1338	2485
35	1401	2491
36	1462	2490
37	1515	2472
38	1584	2478
39	1637	2456
40	1685	2425
41	1732	2392
42	1783	2364
43	1826	2325
44	1877	2294
45	1934	2270
46	1982	2235
47	2019	2188
48	2052	2136
49	2087	2087
50	2120	2037
51	2164	1998
52	2202	1953
53	2239	1907
54	2282	1867
55	2327	1828
56	2370	1787
57	2419	1752
58	2469	1716
59	2503	1669
60	2539	1623
61	2578	1580
62	2619	1538
63	2661	1497
64	2695	1451
65	2732	1407
66	2772	1365
67	2813	1324
68	2855	1282
69	2893	1240
70	2932	1197
71	2969	1154
72	3005	1111
73	3046	1070
74	3089	1029
75	3127	987
76	3174	948
77	3219	907
78	3261	867
79	3303	825
80	3346	785
81	3405	747
82	3452	707
83	3509	668
84	3580	631
85	3644	593
86	3700	552
87	3753	511
88	3802	470
89	3850	427
90	3898	385
91	3951	343
92	4001	301
93	4068	259
94	4117	216
95	4166	173
96	4221	130
97	4270	87
98	4317	43
99	4364	0
