Epoch finished | loss_D: 0.9175 | loss_G: 3.1997
Epoch [1/50] | loss_D: 0.9175 | loss_G: 3.1997
Epoch finished | loss_D: 0.8281 | loss_G: 2.7505
Epoch [2/50] | loss_D: 0.8281 | loss_G: 2.7505
Epoch finished | loss_D: 0.9627 | loss_G: 2.0366
Epoch [3/50] | loss_D: 0.9627 | loss_G: 2.0366
Epoch finished | loss_D: 0.9297 | loss_G: 1.9302
Epoch [4/50] | loss_D: 0.9297 | loss_G: 1.9302
Epoch finished | loss_D: 0.9607 | loss_G: 1.8193
Epoch [5/50] | loss_D: 0.9607 | loss_G: 1.8193
Epoch finished | loss_D: 0.9455 | loss_G: 1.8383
Epoch [6/50] | loss_D: 0.9455 | loss_G: 1.8383
Epoch finished | loss_D: 0.9223 | loss_G: 1.8483
Epoch [7/50] | loss_D: 0.9223 | loss_G: 1.8483
Epoch finished | loss_D: 0.8939 | loss_G: 1.8723
Epoch [8/50] | loss_D: 0.8939 | loss_G: 1.8723
Epoch finished | loss_D: 0.8673 | loss_G: 1.8940
Epoch [9/50] | loss_D: 0.8673 | loss_G: 1.8940
Epoch finished | loss_D: 0.8462 | loss_G: 1.9106
Epoch [10/50] | loss_D: 0.8462 | loss_G: 1.9106
Epoch finished | loss_D: 0.8389 | loss_G: 1.9384
Epoch [11/50] | loss_D: 0.8389 | loss_G: 1.9384
Epoch finished | loss_D: 0.8308 | loss_G: 1.9405
Epoch [12/50] | loss_D: 0.8308 | loss_G: 1.9405
Epoch finished | loss_D: 0.8314 | loss_G: 1.9410
Epoch [13/50] | loss_D: 0.8314 | loss_G: 1.9410
Epoch finished | loss_D: 0.8086 | loss_G: 1.9553
Epoch [14/50] | loss_D: 0.8086 | loss_G: 1.9553
Epoch finished | loss_D: 0.8054 | loss_G: 1.9643
Epoch [15/50] | loss_D: 0.8054 | loss_G: 1.9643
Epoch finished | loss_D: 0.7874 | loss_G: 1.9833
Epoch [16/50] | loss_D: 0.7874 | loss_G: 1.9833
Epoch finished | loss_D: 0.7866 | loss_G: 1.9982
Epoch [17/50] | loss_D: 0.7866 | loss_G: 1.9982
Epoch finished | loss_D: 0.7736 | loss_G: 2.0239
Epoch [18/50] | loss_D: 0.7736 | loss_G: 2.0239
Epoch finished | loss_D: 0.7593 | loss_G: 2.0523
Epoch [19/50] | loss_D: 0.7593 | loss_G: 2.0523
Epoch finished | loss_D: 0.7442 | loss_G: 2.0657
Epoch [20/50] | loss_D: 0.7442 | loss_G: 2.0657
Epoch finished | loss_D: 0.7330 | loss_G: 2.0894
Epoch [21/50] | loss_D: 0.7330 | loss_G: 2.0894
Epoch finished | loss_D: 0.7210 | loss_G: 2.1180
Epoch [22/50] | loss_D: 0.7210 | loss_G: 2.1180
Epoch finished | loss_D: 0.7067 | loss_G: 2.1485
Epoch [23/50] | loss_D: 0.7067 | loss_G: 2.1485
Epoch finished | loss_D: 0.7102 | loss_G: 2.1639
Epoch [24/50] | loss_D: 0.7102 | loss_G: 2.1639
Epoch finished | loss_D: 0.6812 | loss_G: 2.1977
Epoch [25/50] | loss_D: 0.6812 | loss_G: 2.1977
Epoch finished | loss_D: 0.6816 | loss_G: 2.2221
Epoch [26/50] | loss_D: 0.6816 | loss_G: 2.2221
Epoch finished | loss_D: 0.6765 | loss_G: 2.2241
Epoch [27/50] | loss_D: 0.6765 | loss_G: 2.2241
Epoch finished | loss_D: 0.6585 | loss_G: 2.2657
Epoch [28/50] | loss_D: 0.6585 | loss_G: 2.2657
Epoch finished | loss_D: 0.6542 | loss_G: 2.2823
Epoch [29/50] | loss_D: 0.6542 | loss_G: 2.2823
Epoch finished | loss_D: 0.6632 | loss_G: 2.2907
Epoch [30/50] | loss_D: 0.6632 | loss_G: 2.2907
Epoch finished | loss_D: 0.6326 | loss_G: 2.3258
Epoch [31/50] | loss_D: 0.6326 | loss_G: 2.3258
